"","logFC","logCPM","F","PValue","FDR"
"STAT1",1.67311742786817,10.1742950542294,53.420976182574,1.46514796323098e-09,1.42397730546419e-05
"TAP1",1.98604808570663,8.26832750169157,48.4435561927285,5.47490903431453e-09,2.66053204522514e-05
"CXCL10",3.28167226794184,5.17205483237365,45.5061805564107,1.20690800738984e-08,3.90997964127394e-05
"WARS",2.09484997807832,8.43212887970716,43.7676762814149,1.94957819048346e-08,4.73698760832719e-05
"TAP2",1.32947595449767,6.75285260222912,42.5291543514634,2.6943845885137e-08,5.23734476315294e-05
"IL4I1",2.18856274328893,3.38605384370931,37.6363999339449,1.14078287175588e-07,0.000184787812176591
"LAP3",1.14749306885541,6.89970921958121,35.2906295965754,2.27734694283091e-07,0.000316193356248194
"PSMB8",1.35680888595882,6.08699900307155,34.2942888015824,3.1108289207327e-07,0.000377926828507514
"APOL6",1.50103569945822,5.54807474960804,33.6237103594453,3.88295841874234e-07,0.000394255675266737
"BTN3A1",1.22324756964787,6.89354785790794,33.4342209449728,4.05654568645681e-07,0.000394255675266737
"IDO1",3.46700779244442,4.45793285466326,32.3839512555704,5.74939074873328e-07,0.000475034653228375
"GBP1",2.22707926173903,8.41272019148941,32.3212414908815,5.8652287670959e-07,0.000475034653228375
"IRF1",1.78422133345674,5.50249179466029,31.9049105483172,6.69844251832779e-07,0.000500785867966368
"CD274",2.12231439848623,3.10952560851471,30.7221648453443,9.80706184248435e-07,0.00068082024319361
"HLA-F",1.5088880026821,7.11577358631843,29.105885699992,1.66697342166175e-06,0.00108008764567537
"BTN3A2",1.14802589600226,7.21809750239649,28.3288785968498,2.13287922539805e-06,0.00129559082447773
"UBD",3.47040224331701,4.96009479156381,27.6770362609264,2.68996136892262e-06,0.00147798385205112
"PSMB9",1.58981203395292,3.87052706161927,27.6254726667926,2.73728874749666e-06,0.00147798385205112
"NLRC5",1.42964171223561,7.01722162653587,25.3867797281377,5.9075792140174e-06,0.00302188223058079
"CXCL9",3.03391970973,5.54940812771728,24.6393401131621,7.6789859364121e-06,0.00365378041738628
"GCH1",1.45817651983432,3.73656168461626,24.5114522634374,8.03365620879797e-06,0.00365378041738628
"PSMB10",0.918145541518208,4.14930263770542,24.3326857712337,8.46697352252335e-06,0.00365378041738628
"IL12RB1",1.71315515673275,3.39479985854639,24.3036777805512,8.64666628252746e-06,0.00365378041738628
"GBP3",1.38175995748915,7.0247201097121,23.7237397630836,1.06290700567913e-05,0.00430433049508146
"BTN3A3",1.13436867679064,6.85639304825112,23.5494058178564,1.12559989509564e-05,0.00433332176824726
"IFIT3",1.17827768477885,4.79202134903043,23.4007691742655,1.18398847094426e-05,0.00433332176824726
"BMPR1A",-0.891625275364446,6.83536164663709,23.3482683801915,1.20382434142068e-05,0.00433332176824726
"PARP14",1.20713592602331,8.88019371172551,22.9414863725318,1.39784424000775e-05,0.00485201720308405
"PSME2",0.889676525691311,6.78552095023349,22.3613642306832,1.72190445377842e-05,0.00560234312766415
"DTX3L",0.870414667858605,6.19921318317744,22.349640254536,1.72929616040667e-05,0.00560234312766415
"IFIT2",1.21132080891039,4.70850905816965,22.1746012228534,1.85448851679334e-05,0.00569319239977744
"TAPBP",0.828416145405416,6.19570262953599,22.0987809520219,1.89562862994699e-05,0.00569319239977744
"CCL4L2",1.75045565697134,4.26554108240938,22.0706991703583,1.93307283869385e-05,0.00569319239977744
"CCL4",2.05860270299708,4.99790094640876,21.4849192788948,2.39799196589228e-05,0.00685473056367856
"IFIH1",1.08022557041699,5.76151890672966,21.0937232509707,2.75417285386527e-05,0.00764794456191903
"ARHGEF26",-1.40550248672532,5.41841960385246,20.6053625124877,3.32638629427115e-05,0.00877304196073159
"DDX60",1.01187089879569,6.53402115232327,20.5769574456287,3.33987604225814e-05,0.00877304196073159
"ADGRL2",-1.62203504216322,6.83929707649008,20.2753515646706,3.76530270976449e-05,0.00963025711478975
"GBP5",2.17920070030792,6.47618629169024,20.0851701938646,4.04526025290093e-05,0.00982954707756092
"CCL5",1.99683478662377,4.42260233487808,20.0850150346796,4.04549730530339e-05,0.00982954707756092
"HLA-A",1.31796929505986,9.94372626062435,19.7995778159102,4.50707184344633e-05,0.01054691950107
"OAS2",1.34677339118115,4.70237405552474,19.7700941480393,4.5577798029112e-05,0.01054691950107
"SGK1",0.931597294438754,7.50935298795356,19.5409755383711,4.93458734234983e-05,0.0111533149721623
"PIK3CD",0.909398976636858,6.40687611796862,19.2862581954017,5.4393090525218e-05,0.0120146919730589
"EPSTI1",1.38144803775926,5.58817475026545,19.1982022932503,5.66830407834251e-05,0.0122422771860913
"PATL2",1.60891815596985,3.05610215259816,19.1053813690837,5.87361426522625e-05,0.01240992544429
"RTP4",1.42152539860396,2.60598145356762,18.9372475995742,6.25541539707433e-05,0.0127371239129461
"ADCY6",-0.788850215746281,5.52807937445596,18.9078640459374,6.29058491430611e-05,0.0127371239129461
"SLAMF7",2.09518252087143,4.81723643161577,18.721790591041,6.80784736232977e-05,0.0135031568396904
"OAS3",1.12045168382596,5.26474011327714,18.5336836152812,7.31954141819983e-05,0.0138649058407338
"PRH1",-2.32971134658659,5.60785117923893,18.4676351958188,7.51111144418536e-05,0.0138649058407338
"TRIM21",0.925077332759909,4.41696982472265,18.4316826298408,7.5632410569688e-05,0.0138649058407338
"PSTPIP2",1.26306778309908,3.79946754159684,18.4162322742358,7.66232819428248e-05,0.0138649058407338
"IFI44L",1.40268333614988,5.32161744176141,18.4024138142025,7.70351801007951e-05,0.0138649058407338
"NDUFB3",0.752569251179028,5.29629083260716,18.2880108779074,7.99783704215475e-05,0.0139142021691172
"FBXO6",0.992204327135766,2.67628004258267,18.2817883844711,8.01723759101309e-05,0.0139142021691172
"IRF9",0.727852909648018,4.90485710226687,17.9138070796704,9.2563805185599e-05,0.015782940747348
"PRB2",-2.87327124983212,5.41726683356893,17.8072816759851,9.71564933897661e-05,0.0162804130906058
"ITGA10",-2.44837340598903,6.50193774421399,17.6310950266013,0.000104111782740501,0.0165553614275247
"PRB1",-3.21050376549851,6.14765190308708,17.6065936796221,0.00010511936837478,0.0165553614275247
"FAM26F",1.73865549379108,2.16341781414982,17.5970708299258,0.000105513722079241,0.0165553614275247
"CD38",1.85225419565454,3.60206000531864,17.5947297003499,0.000105610907347107,0.0165553614275247
"XAF1",1.18339453222522,5.46716413013326,17.384331492304,0.000114737665433669,0.0177005614341243
"PARP9",0.957284593366146,6.69022577209867,17.3308145875646,0.000116692004133831,0.017720774815261
"FEZ1",-1.38577263424348,3.79900316812348,17.0426680176254,0.000131351443203915,0.0196400719461362
"RNF213",0.797531133386378,10.6123171755181,16.970385718092,0.000134345072639779,0.019664345837522
"CCL3",1.54492682633469,4.84132349773601,16.9632631937296,0.000135560363320709,0.019664345837522
"IFI35",0.889685856168954,3.52576352579635,16.8438414095122,0.000141292317075812,0.0201944122008797
"RARRES3",1.64411769396401,3.84550540593363,16.5972326985874,0.000156861686826435,0.0218324645394021
"NDFIP2",-0.749061474863381,4.45050661952258,16.5762428505554,0.000157245860454589,0.0218324645394021
"CD8A",2.09952084071751,5.73900591581588,16.5053310288334,0.000162739877726195,0.0222770263608576
"WWTR1",-1.23584131330033,5.66850164552714,16.2780541691672,0.000178285299638875,0.0237809184514631
"ZBP1",1.95037133624367,2.50587265822649,16.2733922144994,0.000178619924576274,0.0237809184514631
"LAMC1",-0.934913155718804,8.66894609919818,16.002417648262,0.000198256736355231,0.0260386110896824
"GBP4",1.8736424759794,6.4052483454007,15.96697885138,0.000202116179494594,0.0261915619801061
"PSME1",0.839290761445128,7.07428824058444,15.8965712755463,0.000206803314979801,0.026446334451167
"TAPBPL",0.783952817807283,3.52743160335998,15.7888605385624,0.000216042587281521,0.0267538201494693
"FCER1G",1.565274068114,5.49042475179051,15.8023611130392,0.000216050350317519,0.0267538201494693
"LCK",1.78443178190197,3.04811296023707,15.7862607883871,0.000217465973022747,0.0267538201494693
"IL18BP",0.934948348674224,3.25289687940543,15.5225575291036,0.00024078645986325,0.029060911332047
"PRF1",1.76604457045718,3.70483006862612,15.4998132547949,0.000244337145579288,0.029060911332047
"OAS1",1.09707793305614,4.93106686805334,15.4816082015252,0.000246158011649665,0.029060911332047
"HGF",-1.82799337176857,5.22515143974804,15.4615621858932,0.000248179405346219,0.029060911332047
"ABCA6",-1.9179898620867,7.08007414448324,15.4175515553727,0.000252678352996073,0.0292354870567718
"FSCN1",-1.29670255945668,4.79574590753497,15.1266904916489,0.000284634704718858,0.0325454670019127
"ABCA8",-2.09729544433063,7.21026513753177,14.9965118975882,0.00030027822142377,0.0338732299538682
"HLA-B",1.24764913579756,9.39556544745596,14.9728440555745,0.000303217512705683,0.0338732299538682
"MX1",1.43336283726678,6.29356354540524,14.9432464340156,0.000306935549810804,0.0338989387342182
"SEMA3A",-1.98234152958754,6.03669445247271,14.8318849086158,0.000321356761110627,0.0350928804633055
"CD80",1.29064095391954,2.12088617759059,14.7756955550219,0.000327671235300098,0.0353848526209072
"B2M",1.06936406595484,10.769538270218,14.5882534956853,0.000354093459967613,0.0378179597519256
"CST7",1.25676744549776,1.954557832155,14.5554874449425,0.000358653432462786,0.0378886164141937
"ITGB7",1.05071364066572,4.27154301362403,14.5111351917253,0.000366846978520017,0.0382979760101253
"SIPA1L2",-0.832369107587977,6.7762010724509,14.4297241921973,0.000378207447412933,0.0382979760101253
"CETP",1.11376931915292,3.90313132296452,14.4301905706508,0.000379536438941618,0.0382979760101253
"SLAMF1",2.24519490084372,3.93981692757911,14.4131602700748,0.000382233836123352,0.0382979760101253
"RBP1",-1.53243379342273,3.52870174817138,14.3945992324925,0.000385196502421669,0.0382979760101253
"RNF157",-1.26252555891345,4.81690596797709,14.3736424583893,0.000388570422112716,0.0382979760101253
"ATP6V1B2",0.712948805074023,7.71899622049007,14.3527471929558,0.000390112112871942,0.0382979760101253
"CIITA",1.30695192843285,7.85614020709005,14.3011921691414,0.000400474303020498,0.0387094414042618
"APOL1",1.25621745007886,3.99608612460827,14.2904639288214,0.0004022691204682,0.0387094414042618
"TLE4",-1.12935799634076,5.10282489580548,14.2623302577647,0.000407015865108116,0.0387822273822135
"APOL2",0.870961731148322,5.06599941997284,14.1814673387886,0.000419218712390847,0.0394358547244901
"C5",-0.777228721711014,5.58032048954489,14.1517513134527,0.000424276853266871,0.0394358547244901
"SSBP3",-0.578080721512543,5.40500336729477,14.1417947214674,0.00042604843564888,0.0394358547244901
"LST1",0.972438782797186,2.85597618481944,14.1021997702736,0.000433170414546771,0.0396709312794054
"CARD16",1.4557468171182,5.83695501185217,14.0935330533101,0.000436751687097065,0.0396709312794054
"ITGAL",1.59435759703682,5.8662822851565,14.0409398793439,0.00044647368632472,0.0398495816609015
"DENND2D",1.38644149770166,5.02536952996627,14.0385603513311,0.000446918860071845,0.0398495816609015
"BCL2A1",1.48221594294593,5.01299114668701,13.9377681385447,0.00046620794587547,0.0411915911451245
"PRG4",-2.03598307947082,7.67390522260691,13.9121298113349,0.000471251932135677,0.0412621398957356
"CASP1",1.39348072453897,6.48449590638672,13.851580255621,0.000483391922294716,0.0417732328824987
"AP3M2",0.66692413291325,4.65552919547688,13.8296969558982,0.000485685288169807,0.0417732328824987
"ERAP1",0.719736919425829,7.85534267041721,13.784095166414,0.000495103785299055,0.0422097692045747
"SYNM",-1.3092469237917,8.5532165659173,13.671272601127,0.000521517270193934,0.0440750117305638
"TNFRSF19",-1.40978464775375,5.12743279256799,13.634057488078,0.000529770272013657,0.044386528221558
"DOCK4",-0.905381216042317,7.74364075571846,13.6092130447187,0.000535174105200119,0.0444560438328202
"MAGI1",-0.95379344838049,5.05549379217524,13.5775264477898,0.0005425690161115,0.0446883751490481
"SPINK5",-3.10144731976478,7.39636205888476,13.54137366446,0.000550923175656862,0.0448225331914889
"TYMP",0.898857335626102,5.74799374005,13.5264837644809,0.000553542492378925,0.0448225331914889
"P3H2",-1.90316186711751,5.58188101601963,13.5001295264188,0.000560618286098126,0.0448225331914889
"PARP12",0.891521491819158,5.4625294479722,13.4865577475967,0.000562645236069723,0.0448225331914889
"MAX",0.371487866133652,6.63283811123124,13.4318014810605,0.000574619584163774,0.0453406874366696
"ZNFX1",0.469709681448172,6.67693858183386,13.4160201644759,0.000578479806785372,0.0453406874366696
"HLA-E",0.97464916677257,9.05036761081387,13.3489694279165,0.000597149533827152,0.0464295705541287
"IL17RA",0.489307714166682,6.18752093799655,13.2023053527288,0.000633509597463993,0.0488657125218456
"UBE2L6",1.14371844409919,4.52889870192144,13.1726986134196,0.000644210497783326,0.0492998569130405
"LILRB4",1.24037409412336,5.25460696931888,13.1203414021446,0.000658741765411604,0.0497314344085235
"ZNF626",-1.18695092643694,5.58011113229277,13.1088215091841,0.000661984767112477,0.0497314344085235
"SCO2",0.5990885219567,5.40698955161319,13.0878668547774,0.000665200789495632,0.0497314344085235
"ZNF717",-0.575220825546877,5.86093559058891,13.0338535849044,0.000680730203089744,0.0505039453727421
"WDR74",-0.650547115318223,5.65232057335024,13.0150987204139,0.000686210703886476,0.0505248623566111
"APOBEC3D",0.890250395301396,4.2251383761092,12.9860655625904,0.000695123553400639,0.0507962843270738
