"","logFC","logCPM","F","PValue","FDR"
"ZNF717",-0.708623258593612,5.83315225447351,19.205191448043,5.60476941831011e-05,0.163749485157144
"ZNF208",-1.7971357154208,5.94692467869044,18.955838873234,6.21251817293858e-05,0.163749485157144
"MX2",1.21461954681725,5.30436551367703,18.7922295311636,6.6165971932123e-05,0.163749485157144
"ISG20",1.49125656862358,3.44291455100405,18.74164825683,6.74699155983287e-05,0.163749485157144
"ADCY6",-0.914746184240181,5.4694805624569,17.9989047993164,8.94981188334025e-05,0.173769547526934
"RNF157",-1.3004628949238,4.60419911450472,17.2945059681326,0.000118743295674602,0.192126652401506
"ZNF626",-1.26685444466338,5.49928157282773,16.1989757231906,0.000183858281803393,0.214151057019749
"SLAMF1",2.24403633769579,3.9612369348187,16.1170219634037,0.000190034408593997,0.214151057019749
"DYNC2H1",-0.942197628937512,8.03432077912177,15.9005674299314,0.000207019493710375,0.214151057019749
"MEGF9",-0.636151888048835,4.99234539597702,15.7355798147085,0.000220592353749226,0.214151057019749
"SECISBP2L",-0.565628441732065,7.46464432061116,14.855074905683,0.00031647217721881,0.259368384868919
"FEZ1",-1.21609963109298,3.57517912586243,14.4070359404189,0.000382875384007399,0.259368384868919
"CD274",1.3646313514156,3.16238744419061,14.0435729942168,0.00044560910337909,0.259368384868919
"ARHGEF26",-1.12392716250694,5.2022549482127,13.8288087856795,0.000487643961302531,0.259368384868919
"PCDHB2",-1.6034988495326,3.83184471794868,13.7722394419427,0.000499391552737335,0.259368384868919
"SLC12A2",-0.506899718790519,6.68486280065301,13.5371609234965,0.000549176421015358,0.259368384868919
"SLAMF7",1.56623362736291,4.8142750270232,13.434885384534,0.000575872363280346,0.259368384868919
"POSTN",-1.27323124734882,9.49268051774532,13.4077203859039,0.000582541496352902,0.259368384868919
"STAT1",0.922944458956952,10.3296118747604,13.2015257378556,0.000633472284790271,0.259368384868919
"CCL4L2",1.37498934879814,4.36455599439033,13.0970498062527,0.000664818827755963,0.259368384868919
"MKRN1",-1.1457268119434,7.87997115223109,12.9051103821335,0.000721648326295256,0.259368384868919
"TNFAIP3",1.01010116359931,5.71030232146801,12.8333478698974,0.000744181052872747,0.259368384868919
"ZNF486",-1.12202108236276,4.77880119415403,12.8267026788834,0.000746304479188337,0.259368384868919
"DCUN1D5",-0.774909407614312,5.02499905651698,12.7309249236216,0.000774760992757173,0.259368384868919
"ETV1",-0.83099374390288,6.15074963951006,12.6655508580156,0.000798807311247472,0.259368384868919
"ITGA10",-2.17245356655089,6.12797079418898,12.6249411285869,0.000813888245923476,0.259368384868919
"NDUFB3",0.571694798025144,5.28012014377663,12.5977506673371,0.000820420993411434,0.259368384868919
"WARS",1.27391948037549,8.60313755232539,12.4386928221663,0.000881968570003874,0.259368384868919
"BTN3A1",0.804049068740959,7.07488779434335,12.3746258868246,0.00090559782102169,0.259368384868919
"SNX1",-0.488897045960263,6.961438807367,12.3512025405897,0.000912691715865818,0.259368384868919
"FREM2",-2.37664565982742,7.07510322759653,12.2394829288522,0.000961421926185526,0.259368384868919
"BMI1",-0.664916049979722,6.10350414493787,12.1247793442999,0.00100701364916958,0.259368384868919
"ZNF577",-0.799749057145919,3.85004138589481,12.0204101454741,0.0010538747900475,0.259368384868919
"NDFIP2",-0.627155414664923,4.22534749344651,11.8049114283685,0.00115800191235426,0.259368384868919
"ZNF286A",-0.654565527649598,5.1813443902386,11.7245088128724,0.00119956314065668,0.259368384868919
"CCL3L3",1.22172054161126,3.70074891756683,11.6577459073968,0.0012393164698779,0.259368384868919
"MOV10",0.456869226167004,6.08600438768465,11.6492863178963,0.00123986210604849,0.259368384868919
"PARP14",0.836965656805376,8.98725352918211,11.6432276960062,0.00124453226346493,0.259368384868919
"HLA-F",1.00243705050723,7.32270540153169,11.5982108468646,0.00127216062990011,0.259368384868919
"LMO7",-1.1369820222831,6.4075853785026,11.577505639001,0.00128379584609071,0.259368384868919
"ANKH",-1.19430696720084,7.25820836291575,11.573636205615,0.00128598259465223,0.259368384868919
"PTPRG",-0.758593303529638,6.82912075622464,11.5672998025367,0.00128787912515093,0.259368384868919
"NFKB2",0.683943558957835,4.81133603544254,11.5124443537922,0.00131685041840462,0.259368384868919
"TRPM7",-0.55941525868807,7.88898789840997,11.4553377637687,0.00135044490798315,0.259368384868919
"BACE1",-0.505288188442973,3.89590539592089,11.4424216138607,0.00135816692490961,0.259368384868919
"LAP3",0.717035281441083,7.00772542420546,11.4074533839225,0.0013800298509006,0.259368384868919
"XAF1",0.880315123137998,5.56181443055341,11.3924721475317,0.00139286033431674,0.259368384868919
"ACOX1",-0.465858984414519,7.27327794075081,11.3643197452617,0.00140585690869302,0.259368384868919
"TAP1",1.0861598878932,8.49334860335085,11.3686921307313,0.00140756539728626,0.259368384868919
"ZNF420",-0.86641063699199,4.034695164193,11.2427927727487,0.00148656572145843,0.259368384868919
"NDUFB2",-0.954665354675473,4.7142748056292,11.2072697059257,0.00151178561078605,0.259368384868919
"ZNF354C",-0.747619089593057,3.9100705913196,11.1935089053491,0.00151637413043779,0.259368384868919
"GCH1",0.951368360496453,3.78732651056959,11.1951673412821,0.00151991846010712,0.259368384868919
"GBP1",1.35851240751193,8.62957115899087,11.1698661311642,0.00153706949616716,0.259368384868919
"CCL3",1.23601662731513,4.83767979773348,11.1654601398429,0.00154007688221661,0.259368384868919
"IFIH1",0.800005646735692,5.82665173868422,11.1150783644106,0.0015733430488084,0.259368384868919
"IL12RB1",1.20381299138609,3.53376850579702,11.0920372041696,0.0015911110736533,0.259368384868919
"DTX3L",0.624158057048237,6.24020331570626,10.9940413738406,0.00165705418942007,0.259368384868919
"ZBP1",1.49907678042475,2.59304162774418,10.9505907698885,0.00169448794357317,0.259368384868919
"PRB3",2.02651874240132,4.54627679244114,10.9372291544708,0.0017046108645004,0.259368384868919
"AGER",-1.30730830211701,4.04959496346931,10.9098313585947,0.00172556658194057,0.259368384868919
"IFI44L",1.06707670226515,5.36974460030004,10.9091919561036,0.00172605885426683,0.259368384868919
"HLA-A",1.03991266845084,10.1889314410161,10.8714773008651,0.00175535723943205,0.259368384868919
"MAGEF1",-0.59861587148202,2.89364720149959,10.8469480699089,0.00176952194017068,0.259368384868919
"ZNF585B",-0.75289963482356,4.95244440782089,10.7877661846117,0.00181852232109325,0.259368384868919
"MME",1.82310935478566,7.12900183266459,10.7827634554545,0.00182634909201794,0.259368384868919
"APOL6",0.991031120929857,5.89491282862839,10.7515946704846,0.0018520008253427,0.259368384868919
"SENP1",-0.391658284011363,5.4569884882602,10.7404025937663,0.00185596725104754,0.259368384868919
"ZNFX1",0.408503472981887,6.75284822591716,10.7110975681017,0.00188051219426033,0.259368384868919
"CCL5",1.32327592854176,4.43558727849303,10.6602497303915,0.0019293768594154,0.259368384868919
"TSPAN13",-1.28914397618698,4.0828991644079,10.6582810347033,0.00193108134735599,0.259368384868919
"ADGRL2",-1.23799599084565,6.62461860804694,10.6383196446694,0.00194845329912254,0.259368384868919
"ARHGEF9",-0.462112543116105,4.15699417672621,10.5912091811452,0.0019845276465917,0.259368384868919
"KBTBD6",-0.432560626475125,3.50510117891203,10.5798164417286,0.00199472117900424,0.259368384868919
"PITPNA",-0.406252088576361,5.99489013118965,10.549660700387,0.00202196866434307,0.259368384868919
"TCF12",-0.630211750063602,7.86899494888627,10.5403172368591,0.00203049003399648,0.259368384868919
"RFX5",0.45289454702993,6.31271675806541,10.4835781466976,0.0020830523762646,0.262626915178919
"CCL4",1.37653190909907,5.0195881888318,10.4551322374206,0.00211574687658358,0.263329111254787
"ZNF91",-0.837909715509863,9.24087577019647,10.3741419691822,0.00219288089046416,0.268065415730363
"ZNF528",-0.735007846965181,4.83498505557234,10.3552171862211,0.00220902691166348,0.268065415730363
"TTC3",-0.455996029138512,9.07582458970304,10.2915499586467,0.00227179196549781,0.26881626474519
"PATL2",1.20307925362818,3.12080566992223,10.2609937596907,0.00230959198814482,0.26881626474519
"URB1",-0.393209251419866,6.72785009279321,10.2438308984129,0.00232142257032732,0.26881626474519
"PRPSAP1",-0.45130526400192,4.64727858390632,10.2395074353458,0.00232597509668273,0.26881626474519
"BCR",-0.573418747306405,5.8288887848975,10.164410730857,0.00240656330221424,0.272895903218808
"IRF1",0.998278684821757,5.66526623428771,10.1602062176378,0.00241749564038087,0.272895903218808
"TRIM21",0.679052593128553,4.57082259156214,10.0323109896129,0.00255551612852823,0.282630216033456
"IRF9",0.555624795969877,4.95787728244944,9.99370872471837,0.00260084752223883,0.282630216033456
"ABCA8",-1.69145478147997,7.05572016588343,9.98487977287646,0.0026180025882922,0.282630216033456
"NAA38",-0.481261050702554,1.24855302198594,9.97745936980541,0.0026201812364041,0.282630216033456
"WWTR1",-0.931338463784164,5.38776466690926,9.93449625648483,0.00267879783486862,0.285777685504446
"SLC37A3",-1.0140623330346,6.34579027132569,9.90938106984708,0.00270965515322857,0.285927524212423
"ZNF568",-0.782919696996584,4.24278190880676,9.81406369411271,0.00282679312168471,0.291344601008005
"ZNF737",-0.962500132600455,6.20766158671936,9.79287238008047,0.00285776371967386,0.291344601008005
"RBCK1",0.373373372978836,4.64765980510702,9.77821333891321,0.00286990840954967,0.291344601008005
"ZNF790",-0.657515684278917,4.40078729648211,9.76404291032417,0.00288859599711055,0.291344601008005
"NLRC5",0.954357369797392,7.27760128075606,9.7281398413624,0.00294370647459843,0.291344601008005
"REST",-0.287575904807091,5.88514544548406,9.70817043933175,0.00296353400036519,0.291344601008005
"SAV1",-0.489494067832718,4.96550413780361,9.69465550927928,0.0029819656417247,0.291344601008005
"HMG20B",0.56492111377057,5.45306628711125,9.62327308037445,0.0030813352347038,0.291344601008005
"NID1",-1.01373926719983,7.30387923734809,9.59692595394533,0.00312635354955358,0.291344601008005
"USP22",-0.527131540434753,6.88446976417683,9.58630717578272,0.00313415626258922,0.291344601008005
"ZNF563",-0.738724318109186,3.57212108597764,9.55529928553188,0.00317934109796608,0.291344601008005
"MED14",-0.34986881188619,7.18868754930299,9.55109059831671,0.00318536320307091,0.291344601008005
"OAS2",0.860945990128432,4.6652480130147,9.54898409302497,0.00319602572949636,0.291344601008005
"ACTR8",-0.369819309020706,4.62803844957648,9.54078738431792,0.00320051035517418,0.291344601008005
"SEMA3A",-1.57552104761924,5.78277286982515,9.53872018155825,0.00321115289532927,0.291344601008005
"RCN2",-0.619974947656315,5.37620749911287,9.50142462667663,0.0032590797299879,0.292117725578659
"BTN3A3",0.729641312626514,7.02077313572753,9.4693734881358,0.00331471121160886,0.292117725578659
"TYMP",0.771766755923536,5.94025501270365,9.43890032275887,0.00336225614739936,0.292117725578659
"SGK1",0.737257619075415,7.55380725718317,9.41252617341507,0.00340228765148245,0.292117725578659
"PSMB10",0.613613460175375,4.19575493106147,9.40322178644324,0.00341016505799461,0.292117725578659
"RTP4",1.00277849504018,2.57934935048644,9.36941108472113,0.0034713970128968,0.292117725578659
"ARHGAP4",0.787195300420396,4.67187845571072,9.36048508122309,0.0034853392650406,0.292117725578659
"AMACR",-0.656284564753445,3.77342787275299,9.34091664900275,0.00350982488235917,0.292117725578659
"IL4I1",1.19188183684582,3.48208217696903,9.33720428927191,0.00352390840448095,0.292117725578659
"ADCY1",1.62947679333688,5.27377770607341,9.33315614965147,0.00353050991947285,0.292117725578659
"CXCL1",1.54466820340776,2.82343946175486,9.32084360845555,0.00355066868750327,0.292117725578659
"ZNF880",-0.922961017158345,5.05044403578145,9.20837900202285,0.00374050371116956,0.305149664101127
"TMTC4",-0.569135011697461,3.85877561686696,9.09100361573119,0.00394141648252023,0.318860593435887
"LCK",1.27038233001883,3.19407478214699,9.04272104189861,0.0040398084655745,0.319148521160965
"SLC25A32",-0.352603425172563,4.57007256875442,9.01694945136809,0.0040797677897229,0.319148521160965
"CIITA",1.0231201142867,8.1056456970447,9.00267193700138,0.00411588411050825,0.319148521160965
"ZNF43",-0.819769337484187,7.15437670923533,8.95081793403163,0.00421663066135164,0.319148521160965
"WRB",-0.349890836538699,3.14200777293089,8.91944046745845,0.00426977892981842,0.319148521160965
"PGAP1",-0.62256502632336,5.9475645620484,8.91876893808396,0.00427133531906332,0.319148521160965
"TUBA1A",-0.653199891548173,8.8751504638119,8.91778510027002,0.00427308392901013,0.319148521160965
"OR7E24",-0.76090543957144,2.5175736896328,8.89486760647063,0.00431911722279455,0.319148521160965
"PTPN11",-0.310413016387036,8.64868931918193,8.88832312484011,0.00433235841172754,0.319148521160965
"SPG20",-0.403935233308354,6.992213685608,8.85917523839918,0.00439185323670556,0.319148521160965
"ZNF594",-0.64424601673361,6.02455474191095,8.84557223264439,0.00442144678655468,0.319148521160965
"MPP5",-0.394213256981547,5.18961238358281,8.84417518041188,0.00442280501188541,0.319148521160965
"PRF1",1.28722699780799,3.80759267047185,8.83210956390885,0.00445716863389923,0.319148521160965
"ANKRD36BP2",1.16729410256884,5.69176202628151,8.82292834749406,0.00447636474843781,0.319148521160965
"CETP",0.899807129488341,4.07549688312316,8.81837461738619,0.00448591797853496,0.319148521160965
"GBP3",0.907654390245044,7.14579877501349,8.80796898498153,0.00450782853197887,0.319148521160965
"ARFIP1",-0.32500422408922,4.60363090208341,8.79712584937081,0.00452138728044899,0.319148521160965
"C19orf66",0.64850550633574,3.81318810746079,8.74436918612286,0.00463468553362775,0.319148521160965
"MTMR2",-0.436541714988341,7.12381343624583,8.72947472370629,0.00466721061789056,0.319148521160965
"SYNM",-1.07347800602736,8.50948569755102,8.70564045564221,0.00472939780133369,0.319148521160965
"ATP2B1",-0.73605306124902,7.62110911400004,8.68964437392004,0.00476505750439384,0.319148521160965
"TAP2",0.709205166773245,6.94079943851792,8.67998400449715,0.00478673022105211,0.319148521160965
"SACS",-0.554338535627791,8.31247318615725,8.65875196817002,0.0048249617414255,0.319148521160965
"CXCL10",1.52739769243292,5.36165058083615,8.65866729875374,0.00483492173571412,0.319148521160965
"TMEM2",-0.637221157266285,7.22994511729038,8.65490111052659,0.00483714131007284,0.319148521160965
"MCTP2",1.23122044282054,5.42508807535629,8.65131608293304,0.0048516592157035,0.319148521160965
"ARHGAP9",0.954662355689862,4.94019552202643,8.64744189292638,0.00486050464444434,0.319148521160965
"HERC6",0.662736506251738,4.5765028388549,8.64115607198548,0.004865469832285,0.319148521160965
"ZNF28",-0.642288763545359,6.38795930901631,8.59052603855894,0.00498588226095323,0.32313736334255
"OGFOD3",-0.408752836782441,3.23682522872591,8.57937108450986,0.00500873677059751,0.32313736334255
"RPGR",-0.670521666207198,7.30042929361528,8.57489546346557,0.00502613739850897,0.32313736334255
"PSMB9",0.914197589461885,4.04945102628587,8.52836734575821,0.0051408276523568,0.327507518518759
"GALK2",-0.452166018905844,5.2565342747296,8.50512120725405,0.0051873149587116,0.327507518518759
"DDX60",0.614923094539797,6.54835060040323,8.49534954517826,0.00521250165038228,0.327507518518759
"BRAF",-0.546073816988629,7.49865686453105,8.48815473083754,0.00522905494132752,0.327507518518759
"HERPUD1",0.457813197693804,6.52192889166868,8.43870519157064,0.00535273934523733,0.328777451965753
"SAT2",-0.397071918257534,3.91498567251457,8.43474192744639,0.00536278492100834,0.328777451965753
"BCL2A1",1.15095294563571,5.06026972633268,8.42548810684766,0.00539674626934415,0.328777451965753
"OPHN1",-0.496990975335752,5.51632577151662,8.41653389955532,0.00540919229926981,0.328777451965753
"ZFHX4",-1.28897852329964,6.30909715341812,8.4060036211021,0.00544670958238779,0.328777451965753
"PTK2",-0.434613673956146,7.91027591075619,8.39967798414895,0.00545253087829483,0.328777451965753
"SYCP3",-0.750390637644774,3.80231958931962,8.38601323400186,0.00549349100466038,0.329202535020018
"CD38",1.26365672634973,3.75808769655758,8.33710632424087,0.00562732726348108,0.330614207404321
"ZNF462",-0.584335729525833,7.99908311857728,8.30885136414517,0.00569244209219638,0.330614207404321
"CEP70",-0.761932892955757,4.92140298855228,8.3075299285479,0.0057067907276454,0.330614207404321
"PRPF8",-0.359769254524958,9.97138815097161,8.29962018533104,0.00571744105041817,0.330614207404321
"KLHDC1",-0.460477110744438,3.51904906591761,8.28729298612494,0.00575100497950146,0.330614207404321
"HIST1H4L",-1.41299117777191,2.88650818870677,8.2868431661849,0.0057630729374326,0.330614207404321
"PIK3CD",0.660738633432787,6.5679894074872,8.26869297069157,0.00580911812145422,0.330614207404321
